video_id,split
1100011002,train
1100011003,train
1100011004,train
1100011005,train
1100011006,train
1100011007,train
1100011008,train
1100011009,train
1100011010,train
1100011011,train
1100011012,train
1100011013,train
1100011014,train
1100011015,train
1100011016,train
1100011017,train
1100011018,train
1100011019,train
1100011020,train
1100011021,train
1100011022,train
1100011023,train
1100011025,train
1100011026,train
1100011027,train
1100011028,train
1100011029,train
1100011031,train
1100011032,train
1100011034,train
1100011035,train
1100011037,train
1100011038,train
1100011040,train
1100011046,train
1100011047,train
1100011048,train
1100011049,train
1100011050,train
1100011051,train
1100011052,train
1100011053,train
1100011054,train
1100011055,train
1100011056,train
1100011057,train
1100011058,train
1100011059,train
1100011060,train
1100011062,train
1100011063,train
1100011064,train
1100011066,train
1100011067,train
1100011068,train
1100011069,train
1100011070,train
1100011071,train
1100011072,train
1100011073,train
1100011075,train
1100011076,train
1100011078,train
1100011079,train
1100011080,train
1100011081,train
1100011082,train
1100011083,train
1100012001,train
1100012003,train
1100012007,train
1100012008,train
1100012009,train
1100012010,train
1100012011,train
1100012013,train
1100012014,train
1100012015,train
1100012016,train
1100012017,train
1100012018,train
1100012021,train
1100012022,train
1100012023,train
1100012025,train
1100012026,train
1100012027,train
1100012028,train
1100012030,train
1100012031,train
1100012032,train
1100012033,train
1100012036,train
1100012037,train
1100012038,train
1100012041,train
1100012042,train
1100012045,train
1100012046,train
1100012047,train
1100012049,train
1100012050,train
1100012051,train
1100012052,train
1100012057,train
1100012059,train
1100012060,train
1100012061,train
1100012062,train
1100012063,train
1100012064,train
1100012065,train
1100012066,train
1100012069,train
1100021001,train
1100021003,train
1100021015,train
1100021038,train
1100021039,train
1100021040,train
1100021045,train
1100021050,train
1100021055,train
1100022001,train
1100022002,train
1100022003,train
1100022004,train
1100022005,train
1100022008,train
1100022009,train
1100022014,train
1100022019,train
1100022020,train
1100022021,train
1100022022,train
1100022026,train
1100022027,train
1100022028,train
1100022029,train
1100022031,train
1100022035,train
1100022038,train
1100022039,train
1100022045,train
1100022046,train
1100022047,train
1100022048,train
1100022049,train
1100022051,train
1100022052,train
1100022053,train
1100022054,train
1100022055,train
1100022056,train
1100022057,train
1100041006,train
1100041015,train
1100041016,train
1100041017,train
1100041018,train
1100041021,train
1100041022,train
1100041023,train
1100041024,train
1100041029,train
1100041034,train
1100041044,train
1100041051,train
1100041052,train
1100042009,train
1100042010,train
1100042011,train
1100042017,train
1100042018,train
1100042019,train
1100042020,train
1100042023,train
1100042024,train
1100042025,train
1100042026,train
1100042029,train
1100042030,train
1100042031,train
1100042034,train
1100042040,train
1100042041,train
1100042058,train
1100042059,train
1100042060,train
1100051002,train
1100051004,train
1100051006,train
1100051007,train
1100051008,train
1100051009,train
1100051011,train
1100051012,train
1100051013,train
1100051014,train
1100051016,train
1100051017,train
1100051019,train
1100051020,train
1100051021,train
1100051022,train
1100051023,train
1100051024,train
1100051025,train
1100051026,train
1100051028,train
1100051029,train
1100051030,train
1100051031,train
1100051032,train
1100051033,train
1100051034,train
1100051035,train
1100051036,train
1100051037,train
1100051039,train
1100051041,train
1100051042,train
1100051044,train
1100051045,train
1100051046,train
1100051048,train
1100051049,train
1100051050,train
1100051051,train
1100051052,train
1100051053,train
1100051054,train
1100051055,train
1100051056,train
1100051057,train
1100051059,train
1100051061,train
1100051062,train
1100051064,train
1100051065,train
1100051066,train
1100051067,train
1100051068,train
1100051071,train
1100051076,train
1100051078,train
1100051079,train
1100052001,train
1100052002,train
1100052006,train
1100052007,train
1100052008,train
1100052009,train
1100052014,train
1100052023,train
1100052024,train
1100052026,train
1100052027,train
1100052028,train
1100052030,train
1100052031,train
1100052032,train
1100052033,train
1100052035,train
1100052036,train
1100052037,train
1100052038,train
1100052039,train
1100052040,train
1100052041,train
1100052047,train
1100052048,train
1100052049,train
1100052051,train
1100052055,train
1100052057,train
1100052060,train
1100052061,train
1100052062,train
1100052065,train
1100052068,train
1100052070,train
1100061009,train
1100061010,train
1100061011,train
1100061012,train
1100061013,train
1100061015,train
1100061016,train
1100061018,train
1100061019,train
1100061022,train
1100061023,train
1100061025,train
1100061027,train
1100061028,train
1100061030,train
1100061031,train
1100061032,train
1100061033,train
1100061034,train
1100061035,train
1100061036,train
1100061038,train
1100061039,train
1100061040,train
1100061042,train
1100061043,train
1100061044,train
1100061046,train
1100061047,train
1100061048,train
1100061049,train
1100061050,train
1100061051,train
1100061053,train
1100061057,train
1100061058,train
1100061061,train
1100061063,train
1100061064,train
1100061067,train
1100061068,train
1100061069,train
1100061073,train
1100061074,train
1100061077,train
1100061078,train
1100062004,train
1100062005,train
1100062007,train
1100062008,train
1100062009,train
1100062016,train
1100062017,train
1100062024,train
1100062028,train
1100062029,train
1100062036,train
1100062037,train
1100062044,train
1100062045,train
1100062046,train
1100062049,train
1100062051,train
1100062053,train
1100062054,train
1100062059,train
1100062060,train
1100062061,train
1100062062,train
1100062063,train
1100062064,train
1100062065,train
1100062066,train
1100062067,train
1100062068,train
1100062069,train
1100062070,train
1100062071,train
1100062072,train
1100071005,train
1100071006,train
1100071007,train
1100071008,train
1100071009,train
1100071010,train
1100071011,train
1100071012,train
1100071013,train
1100071014,train
1100071015,train
1100071016,train
1100071017,train
1100071018,train
1100071019,train
1100071020,train
1100071021,train
1100071022,train
1100071023,train
1100071024,train
1100071026,train
1100071027,train
1100071028,train
1100071029,train
1100071030,train
1100071031,train
1100071032,train
1100071033,train
1100071034,train
1100071035,train
1100071036,train
1100071037,train
1100071040,train
1100071041,train
1100071042,train
1100071043,train
1100071044,train
1100071045,train
1100071046,train
1100071047,train
1100071049,train
1100071050,train
1100071052,train
1100071054,train
1100071055,train
1100071056,train
1100071057,train
1100071058,train
1100071059,train
1100071060,train
1100071061,train
1100071062,train
1100071063,train
1100071064,train
1100071065,train
1100071066,train
1100071067,train
1100071069,train
1100071070,train
1100071071,train
1100071072,train
1100071073,train
1100071074,train
1100071075,train
1100071076,train
1100071077,train
1100071078,train
1100071079,train
1100071080,train
1100071081,train
1100072001,train
1100072002,train
1100072003,train
1100072004,train
1100072006,train
1100072007,train
1100072008,train
1100072009,train
1100072010,train
1100072011,train
1100072012,train
1100072013,train
1100072014,train
1100072015,train
1100072016,train
1100072021,train
1100072022,train
1100072023,train
1100072024,train
1100072027,train
1100072028,train
1100072029,train
1100072030,train
1100072031,train
1100072032,train
1100072033,train
1100072034,train
1100072036,train
1100072037,train
1100072038,train
1100072039,train
1100072040,train
1100072042,train
1100072043,train
1100072045,train
1100072047,train
1100072048,train
1100072049,train
1100072050,train
1100072051,train
1100072052,train
1100072053,train
1100072054,train
1100072056,train
1100072057,train
1100072058,train
1100072059,train
1100072060,train
1100072061,train
1100072062,train
1100072063,train
1100072065,train
1100072066,train
1100072067,train
1100072068,train
1100072069,train
1100072070,train
1100072071,train
1100072072,train
1100072073,train
1100072074,train
1100072075,train
1100072076,train
1100072077,train
1100072078,train
1100072079,train
1100072080,train
1100072081,train
1100072082,train
1100072083,train
1100072084,train
1100072085,train
1100081044,train
1100081045,train
1100081046,train
1100081047,train
1100081048,train
1100082002,train
1100082003,train
1100082018,train
1100082027,train
1100102003,train
1100111001,train
1100111002,train
1100111003,train
1100111008,train
1100111009,train
1100111010,train
1100111011,train
1100111012,train
1100111013,train
1100111014,train
1100111016,train
1100111017,train
1100111018,train
1100111019,train
1100111021,train
1100111023,train
1100111025,train
1100111026,train
1100111027,train
1100111029,train
1100111030,train
1100111032,train
1100112001,train
1100112002,train
1100112003,train
1100112004,train
1100112006,train
1100112007,train
1100112008,train
1100112009,train
1100112010,train
1100112011,train
1100112012,train
1100112013,train
1100112014,train
1100112015,train
1100112016,train
1100112017,train
1100112018,train
1100112021,train
1100112022,train
1100112024,train
1100112025,train
1100112026,train
1100112029,train
1100112030,train
1100112033,train
1100112035,train
1100112036,train
1100112037,train
1100112038,train
1100112039,train
1100112040,train
1100112041,train
1100112042,train
1100112043,train
1100112044,train
1100112045,train
1100112047,train
1100112048,train
1100112051,train
1100112052,train
1100112053,train
1100112056,train
1100112057,train
1100112058,train
1100112059,train
1100112060,train
1100112061,train
1100112062,train
1100112063,train
1100112064,train
1100112065,train
1100112066,train
1100112068,train
1100121002,train
1100121003,train
1100121004,train
1100121005,train
